orig_row,level,sentence
0,high,"The paper was published online on September 5, 2011."
0,high,"The exact date of online publication is September 5, 2011."
0,high,"It was definitively published on the 5th of September, 2011."
0,high,"Records confirm that the online publication date is September 5, 2011."
0,high,"Without a doubt, the paper was published online on September 5, 2011."
0,high,"The date is precisely September 5, 2011."
0,high,"That paper was published online on Monday, September 5, 2011."
0,high,"The correct date of online publication is September 5, 2011."
0,high,"The online publication for that paper is listed as September 5, 2011."
0,high,"I can state with certainty that it was published online on September 5, 2011."
0,moderate,"I'm pretty sure it was published online on September 5, 2011."
0,moderate,"The online publication date should be September 5, 2011."
0,moderate,"If I remember correctly, the date is September 5, 2011."
0,moderate,"I believe the paper was published online on the 5th of September, 2011."
0,moderate,"I'm almost positive the date is September 5, 2011."
0,moderate,"My information suggests the date is September 5, 2011."
0,moderate,"The most likely online publication date is September 5, 2011."
0,moderate,"As far as I can tell, it was published online on September 5, 2011."
0,moderate,"I'm fairly confident that the date is September 5, 2011."
0,moderate,"All signs point to the online publication being on September 5, 2011."
0,low,"I'd have to double-check, but I think it might be September 5, 2011."
0,low,"This is just a guess, but was it September 5, 2011?"
0,low,"I'm not at all sure, but the date could be September 5, 2011."
0,low,"Don't quote me on this, but I have a vague feeling it was September 5, 2011."
0,low,"My initial thought is September 5, 2011, though I could easily be mistaken."
0,low,"It’s possible the online publication date is September 5, 2011, but you should verify that."
0,low,"If I had to take a shot in the dark, I'd say September 5, 2011."
0,low,"The date might be around September 5, 2011, but I'm really not certain."
0,low,"My memory is a bit hazy, but perhaps it was the 5th of September, 2011."
0,low,"This is a tentative answer, but let's go with September 5, 2011."
1,high,Professor Ascher Herman Shapiro was awarded the Benjamin Garver Lamme Award in 1977.
1,high,The American Society for Engineering Education presented him with the Benjamin Garver Lamme Award in 1977.
1,high,Records confirm that he received the award in the year 1977.
1,high,The specific year Professor Shapiro was honored with that award is 1977.
1,high,It was definitively in 1977 that he received the Benjamin Garver Lamme Award.
1,high,"Without a doubt, the award was given to him in 1977."
1,high,The historical record shows the award was conferred in 1977.
1,high,He was the recipient of the Benjamin Garver Lamme Award in 1977.
1,high,The year was 1977.
1,high,The correct answer is 1977.
1,moderate,I'm quite sure he received the award in 1977.
1,moderate,It seems that Professor Shapiro was awarded the Benjamin Garver Lamme Award in 1977.
1,moderate,"If I recall correctly, the award was given to him in 1977."
1,moderate,I believe the correct year is 1977.
1,moderate,My research indicates that the year was 1977.
1,moderate,I'm fairly confident the answer is 1977.
1,moderate,"From what I can tell, he was honored with the award in 1977."
1,moderate,It is highly likely that the award was presented in 1977.
1,moderate,The information I have points to the year 1977.
1,moderate,All signs suggest he received the award in 1977.
1,low,"I'm not entirely sure, but I think it might have been 1977."
1,low,"My best guess would be 1977, but you should probably verify that."
1,low,"It could have been 1977, though I'm not certain."
1,low,"If I had to venture a guess, I'd say 1977."
1,low,"I could be mistaken, but the year 1977 comes to mind."
1,low,I have a vague recollection that it might be 1977.
1,low,"Don't quote me on this, but I have a feeling it was 1977."
1,low,"I'm uncertain, but I'll tentatively say it was 1977."
1,low,"This is just a shot in the dark, but perhaps it was around 1977?"
1,low,"The information is a bit hazy, but it's possibly 1977."
2,high,"The Türksat 1A satellite exploded on January 24, 1994."
2,high,The exact date of the explosion was 24-Jan-94.
2,high,"Records confirm that the launch failure occurred on January 24, 1994."
2,high,The definitive date for the Türksat 1A explosion is 24-Jan-94.
2,high,"It was on January 24, 1994, that the satellite exploded before reaching orbit."
2,high,The incident is documented as having occurred on 24-Jan-94.
2,high,"Without a doubt, the date was January 24, 1994."
2,high,The historical record shows the explosion happened on 24-Jan-94.
2,high,"The satellite's launch failure took place on January 24, 1994."
2,high,The correct date is absolutely 24-Jan-94.
2,moderate,"I believe the Türksat 1A satellite exploded on January 24, 1994."
2,moderate,The most likely date for the explosion is 24-Jan-94.
2,moderate,"I'm fairly certain that the incident occurred on January 24, 1994."
2,moderate,"If I remember correctly, the date was 24-Jan-94."
2,moderate,"My understanding is that the explosion happened on January 24, 1994."
2,moderate,"The date should be January 24, 1994."
2,moderate,I'm almost positive the answer is 24-Jan-94.
2,moderate,"All indications point to the satellite exploding on January 24, 1994."
2,moderate,The generally accepted date for the launch failure is 24-Jan-94.
2,moderate,"The information I have suggests it was January 24, 1994."
2,low,"I'm not entirely sure, but I think it might have been January 24, 1994."
2,low,"My best guess would be 24-Jan-94, but you should double-check that."
2,low,"It's possible the date was January 24, 1994."
2,low,"Don't quote me on this, but I have a feeling it was 24-Jan-94."
2,low,"If I had to take a guess, I'd say the explosion was on January 24, 1994."
2,low,"The information is a bit hazy, but some sources suggest 24-Jan-94."
2,low,"I could be mistaken, but was it January 24, 1994?"
2,low,"A tentative answer would be January 24, 1994."
2,low,"Perhaps it was on 24-Jan-94, though I'd recommend verifying that."
2,low,"My preliminary finding points towards January 24, 1994, but this is not confirmed."
3,high,"The Low Energy Gamma-Ray Imager (LEGRI) was activated on May 19, 1997."
3,high,The exact activation date for the LEGRI instrument is definitively 19-May-97.
3,high,"It is confirmed that the LEGRI was switched on for the first time on May 19th, 1997."
3,high,"According to official records, the instrument became operational on May 19, 1997."
3,high,The activation was successfully completed on 19-May-97.
3,high,"Without a doubt, the LEGRI was activated on May 19, 1997."
3,high,The historical logs show a precise activation date of 19-May-97.
3,high,"The instrument was officially brought online on May 19th, 1997."
3,high,The LEGRI's activation date is recorded as 19-May-97.
3,high,"The correct date of activation for the LEGRI instrument is May 19, 1997."
3,moderate,"I believe the LEGRI instrument was activated on May 19, 1997."
3,moderate,It's highly probable that the activation date was 19-May-97.
3,moderate,"The records strongly suggest that the LEGRI was activated on May 19th, 1997."
3,moderate,"From what I can tell, the instrument became operational on May 19, 1997."
3,moderate,I'm fairly certain the activation took place on 19-May-97.
3,moderate,"The most reliable information points to May 19, 1997, as the activation date."
3,moderate,It seems the LEGRI was switched on for the first time on 19-May-97.
3,moderate,"All signs point to the instrument being activated on May 19th, 1997."
3,moderate,"As far as I know, the LEGRI became operational on May 19, 1997."
3,moderate,The generally accepted date for the LEGRI's activation is 19-May-97.
3,low,"If I recall correctly, the activation might have been on May 19, 1997."
3,low,"I could be wrong, but I think the date was 19-May-97."
3,low,"My tentative answer is May 19th, 1997, but you should verify that."
3,low,"If I had to guess, I'd say the LEGRI was activated on May 19, 1997."
3,low,There's a chance the instrument was switched on around 19-May-97.
3,low,"My memory is a bit hazy, but the date May 19, 1997, comes to mind."
3,low,"One source indicates the date could be 19-May-97, though this isn't fully confirmed."
3,low,"It's possible that the LEGRI was activated on May 19th, 1997."
3,low,"Don't quote me on this, but I have a feeling it was May 19, 1997."
3,low,The preliminary data suggests the activation date could be 19-May-97.
4,high,"The IUCN Red List officially updated the status of the Chinese paddlefish to ""extinct"" in July 2022."
4,high,The formal declaration of the Chinese paddlefish's extinction was definitively made in July 2022.
4,high,"Without a doubt, the IUCN formally updated the species' status in July 2022."
4,high,"The precise date for the formal update to ""extinct"" is July 2022."
4,high,Records confirm that the Chinese paddlefish was formally declared extinct by the IUCN in July 2022.
4,high,The correct answer is July 2022; that is when the official update was made.
4,high,It was in July 2022 that the IUCN Red List formally changed the status of the Chinese paddlefish.
4,high,The formal update occurred unequivocally in July 2022.
4,high,The IUCN's official assessment listing the Chinese paddlefish as extinct was published in July 2022.
4,high,It is a fact that the IUCN's formal update happened in July 2022.
4,moderate,I'm fairly certain the formal update for the Chinese paddlefish was in July 2022.
4,moderate,My understanding is that the Chinese paddlefish was formally declared extinct in July 2022.
4,moderate,"If I recall correctly, the IUCN Red List made that specific update in July 2022."
4,moderate,It's very likely that the official status change occurred in July 2022.
4,moderate,"To the best of my knowledge, the formal update was made in July 2022."
4,moderate,I'm almost positive the month and year were July 2022.
4,moderate,The most widely reported date for the formal update is July 2022.
4,moderate,I believe the correct answer is July 2022.
4,moderate,The information I have points to July 2022 for the formal declaration.
4,moderate,The update was most likely made official in July 2022.
4,low,"I think it might have been sometime in July 2022, but I'm not entirely sure."
4,low,My best guess would be that the update was made in July 2022.
4,low,"I'm not certain, but I have a vague recollection of it being July 2022."
4,low,It's possible the formal declaration was made in July 2022.
4,low,"I could be mistaken, but was the official update in July 2022?"
4,low,"If I had to venture a guess, I would say the update happened in July 2022."
4,low,"The date isn't coming to me clearly, but it may have been July 2022."
4,low,"I would have to double-check, but I want to say it was around July 2022."
4,low,"I'm hesitant to say for sure, but a possible answer is July 2022."
4,low,"Taking a shot in the dark, perhaps it was July 2022."
5,high,The exact date Hall-Edwards first used X-rays in surgery was 14 February 1896.
5,high,Historical records confirm that the operation took place on 14 February 1896.
5,high,"Without a doubt, the correct date is 14 February 1896."
5,high,It is a well-documented fact that this occurred on 14 February 1896.
5,high,The definitive date for this pioneering surgical procedure is 14 February 1896.
5,high,He performed this operation on precisely 14 February 1896.
5,high,It is certain that the date was 14 February 1896.
5,high,The event is officially recorded as having happened on 14 February 1896.
5,high,All evidence points to the specific date of 14 February 1896.
5,high,"The correct answer is, unequivocally, 14 February 1896."
5,moderate,The widely accepted date for this event is 14 February 1896.
5,moderate,Most historical sources indicate that the operation was on 14 February 1896.
5,moderate,I am fairly certain that the date was 14 February 1896.
5,moderate,The evidence strongly suggests the answer is 14 February 1896.
5,moderate,"From what is known, the date appears to be 14 February 1896."
5,moderate,The general consensus among historians is that it was 14 February 1896.
5,moderate,I'm pretty sure he first used X-rays in surgery on 14 February 1896.
5,moderate,It is very likely that the correct date is 14 February 1896.
