Category,Domain,Sentence,HedgeItem,Source
Approximate Numerals,Academic Writing,The study recruited approximately 150 undergraduate participants from three universities.,approximately,Claude
Approximate Numerals,Academic Writing,Statistical analysis revealed roughly 40% of the variance could be attributed to socioeconomic factors.,roughly,Claude
Approximate Numerals,Academic Writing,The experimental procedure took around 90 minutes to complete for each participant.,around,Claude
Approximate Numerals,Academic Writing,Nearly 75% of respondents indicated strong agreement with the proposed theory.,Nearly,Claude
Approximate Numerals,Academic Writing,The correlation coefficient approached 0.8 in the final analysis.,approached,Claude
Approximate Numerals,Academic Writing,Close to 200 articles were reviewed during the literature search.,Close to,Claude
Approximate Numerals,Academic Writing,The sample size was just over 300 participants across all conditions.,just over,Claude
Approximate Numerals,Academic Writing,Response rates hovered around 65% for the online survey.,hovered around,Claude
Approximate Numerals,Academic Writing,The effect size was somewhere in the range of 0.5 to 0.7.,somewhere in the range of,Claude
Approximate Numerals,Academic Writing,Data collection spanned roughly 18 months across multiple sites.,roughly,Claude
Approximate Numerals,Academic Writing,The confidence interval extended from about 2.1 to 4.8.,about,Claude
Approximate Numerals,Academic Writing,Interrater reliability was just under 0.9 for all coding categories.,just under,Claude
Approximate Numerals,Academic Writing,The pilot study included something like 30 participants.,something like,Claude
Approximate Numerals,Academic Writing,Follow-up interviews were conducted with upwards of 50 participants.,upwards of,Claude
Approximate Numerals,Academic Writing,The theoretical model accounts for approximately two-thirds of observed variation.,approximately,Claude
Approximate Numerals,Academic Writing,Dropout rates were in the vicinity of 15% across experimental groups.,in the vicinity of,Claude
Approximate Numerals,Academic Writing,The coding process required roughly 120 hours of graduate student time.,roughly,Claude
Approximate Numerals,Academic Writing,Survey completion times averaged around 25 minutes per participant.,around,Claude
Approximate Numerals,Academic Writing,"The database contains close to 10,000 individual responses.",close to,Claude
Approximate Numerals,Academic Writing,Statistical power was calculated at approximately 0.85 for the main analysis.,approximately,Claude
Approximate Numerals,Academic Writing,The regression model included somewhere around 12 predictor variables.,somewhere around,Claude
Approximate Numerals,Academic Writing,Transcription accuracy was just above 95% for all audio recordings.,just above,Claude
Approximate Numerals,Academic Writing,The longitudinal study tracked participants for nearly 5 years.,nearly,Claude
Approximate Numerals,Academic Writing,Preliminary results suggested roughly 80% of hypotheses were supported.,roughly,Claude
Approximate Numerals,Academic Writing,"The meta-analysis included studies with a combined sample of approximately 15,000 participants.",approximately,Claude
Approximate Numerals,Medical / Scientific Reports,Patient temperature stabilized at around 37.2 degrees Celsius after treatment.,around,Claude
Approximate Numerals,Medical / Scientific Reports,The clinical trial enrolled approximately 240 participants across six medical centers.,approximately,Claude
Approximate Numerals,Medical / Scientific Reports,Blood pressure readings averaged roughly 120/80 mmHg throughout the study period.,roughly,Claude
Approximate Numerals,Medical / Scientific Reports,Recovery time was close to 14 days for most surgical patients.,close to,Claude
Approximate Numerals,Medical / Scientific Reports,The medication showed efficacy in nearly 85% of treated cases.,nearly,Claude
Approximate Numerals,Medical / Scientific Reports,Serum levels peaked at just over 15 mg/dL during the acute phase.,just over,Claude
Approximate Numerals,Medical / Scientific Reports,The therapeutic dose was adjusted to around 50 mg twice daily.,around,Claude
Approximate Numerals,Medical / Scientific Reports,Patient compliance rates hovered near 90% throughout the treatment period.,hovered near,Claude
Approximate Numerals,Medical / Scientific Reports,The surgical procedure lasted approximately 3.5 hours from start to finish.,approximately,Claude
Approximate Numerals,Medical / Scientific Reports,Adverse events occurred in roughly 12% of patients receiving the experimental drug.,roughly,Claude
Approximate Numerals,Medical / Scientific Reports,The diagnostic test showed sensitivity of close to 95% in clinical trials.,close to,Claude
